id,title,date_earliest,date_latest,production_country,production_region,production_minting_place,diameter,weight,production_material,production_technique,nominal
13037,Parther: Pakoros II.,82,85,Irak,Mesopotamien,Seleukia am Tigris,15,3.05,Bronze,struck,Dichalkon
13038,Parther: Pakoros II.,83,84,Irak,Mesopotamien,Seleukia am Tigris,15,3.20,Bronze,struck,Dichalkon
13049,Parther: Pakoros II.,75,110,Irak,Mesopotamien,Seleukia am Tigris,12,1.59,Bronze,struck,Chalkous
13057,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,0.64,Bronze,struck,Chalkous
13058,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,1.09,Bronze,struck,Chalkous
13059,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,0.55,Bronze,struck,Chalkous
13060,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,1.13,Bronze,struck,Chalkous
13061,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,1.07,Bronze,struck,Chalkous
13063,Germanicus,12,19,Italien,Italia,Rom,29,13.08,Bronze,struck,Dupondius
13064,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,1.11,Bronze,struck,Chalkous
13065,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,0.94,Bronze,struck,Chalkous
13066,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,9,0.88,Bronze,struck,Chalkous
13067,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,1.83,Bronze,struck,Chalkous
13068,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,9,0.98,Bronze,struck,Chalkous
13069,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,11,1.59,Bronze,struck,Chalkous
13070,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,1.69,Bronze,struck,Chalkous
13071,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,0.98,Bronze,struck,Chalkous
13072,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,1.22,Bronze,struck,Chalkous
13073,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,1.48,Bronze,struck,Chalkous
13074,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,1.27,Bronze,struck,Chalkous
13075,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,10,0.71,Bronze,struck,Chalkous
13076,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,9,0.90,Bronze,struck,Chalkous
13077,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,13,0.10,Bronze,struck,Chalkous
13078,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,12,1.01,Bronze,struck,Chalkous
13079,Parther: Pakoros II.,75,110,Iran,Medien,Ekbatana,8-12,1.54,Bronze,struck,Chalkous
13145,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul),21,4.46,Gold,struck,Solidus
13162,Pherai,-480,-450,Griechenland,Thessalien,Pherai,18-21,5.81,Silver,struck,Drachme
13163,Germanicus,12,19,Italien,Italia,Rom,30,12.11,Bronze,struck,Dupondius
13164,Germanicus,12,19,Italien,Italia,Rom,30,14.52,Bronze,struck,Dupondius
13165,Germanicus: Nachahmung,37,19,,,,33,22.42,Bronze,struck,Dupondius
13166,Pergamon,81,96,Türkei,Mysien,Pergamon,19,2.83,Bronze,struck,
13167,Caesarea (Eusebeia),-18,-17,Türkei,Kappadokien,Caesarea (Kayseri),24,7.62,Bronze,struck,
13168,Caesarea,-9,-8,Türkei,Kappadokien,Caesarea (Kayseri),23,6.74,Bronze,struck,
13169,Pherai,-480,-450,Griechenland,Thessalien,Pherai,18,5.48,Silver,struck,Drachme
13170,Valentinianus III.,419,455,Italien,Italia,Ravenna,21,4.41,Gold,struck,Solidus
13174,Aelia Pulcheria,399,453,Türkei,Thrakien,Konstantinopolis (Istanbul),21,4.32,Gold,struck,Solidus
13175,Böhmen: Boleslav II.,967,999,Tschechische Republik,Böhmen,Prag,18,0.84,Silver,struck,Denar (MA)
13177,Böhmen: Boleslav II.,967,999,Tschechische Republik,Böhmen,Prag,16,0.60,Silver,struck,Obol (MA)
13185,Pherai,-480,-450,Griechenland,Thessalien,Pherai,20,5.58,Silver,struck,Drachme
13186,Pherai,-480,-450,Griechenland,Thessalien,Pherai,19,5.63,Silver,struck,Drachme
13188,Pherai,-480,-450,Griechenland,Thessalien,Pherai,16,2.38,Silver,struck,1/2 Drachme (Hemidrachme)
13198,Pherai,-480,-450,Griechenland,Thessalien,Pherai,16,2.43,Silver,struck,1/2 Drachme (Hemidrachme)
13204,Pherai,-480,-450,Griechenland,Thessalien,Pherai,14-16,2.79,Silver,struck,1/2 Drachme (Hemidrachme)
13208,Pherai,-480,-450,Griechenland,Thessalien,Pherai,14-16,2.85,Silver,struck,1/2 Drachme (Hemidrachme)
13212,Pherai,-480,-450,Griechenland,Thessalien,Pherai,15,2.75,Silver,struck,1/2 Drachme (Hemidrachme)
13224,Pherai,-480,-450,Griechenland,Thessalien,Pherai,16,2.86,Silver,struck,1/2 Drachme (Hemidrachme)
13231,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,19,5.82,Silver,struck,Drachme
13238,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,13,2.98,Silver,struck,1/2 Drachme (Hemidrachme)
13241,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,14,2.94,Silver,struck,1/2 Drachme (Hemidrachme)
13245,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,14,2.88,Silver,struck,1/2 Drachme (Hemidrachme)
13246,Augustus,-63,14,Türkei,Asia,Pergamon,26,11.65,Silver,struck,Cistophor
13248,Waldeck-Schwalenberg: Grafschaft,1190,1195,Deutschland,Westfalen,Korbach?,19,1.47,Silver,struck,Denar (MA)
13253,Waldeck-Schwalenberg: Grafschaft,1190,1195,Deutschland,Westfalen,Korbach?,19,1.34,Silver,struck,Denar (MA)
13254,Westfalen oder Hessen: Colonia-Typen,1100,1120,Deutschland,,,19,0.79,Silver,struck,Denar (MA)
13255,Lippe: Grafschaft,1554,1613,Deutschland,Lippe,Detmold,42,29.00,Silver,struck,Taler
13256,Westfalen oder Hessen: Colonia-Typen,1100,1120,Deutschland,,,19,0.92,Silver,struck,Denar (MA)
13257,Westfalen oder Hessen: Colonia-Typen,1100,1120,Deutschland,,,19,0.81,Silver,struck,Denar (MA)
13258,Westfalen oder Hessen: Colonia-Typen,1100,1120,Deutschland,,,19,0.82,Silver,struck,Denar (MA)
13259,Lippe: Grafschaft,1554,1613,Deutschland,Westfalen,Blomberg,21,1.42,Silver,struck,Groschen
13260,Lippe: Grafschaft,1649,1697,Deutschland,Lippe,Detmold,48,28.96,Silver,struck,Taler
13262,Lippe: Grafschaft,1694,1734,Deutschland,Lippe,Detmold,23,3.47,Gold,struck,Dukat
13284,Waldeck-Schwalenberg: Grafschaft,1195,1200,,,,20,1.30,Silver,struck,Denar (MA)
13313,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,20,1.42,Silver,struck,Denar (MA)
13347,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,20,1.33,Silver,struck,Denar (MA)
13348,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,19,1.33,Silver,struck,Denar (MA)
13349,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,16,0.55,Silver,struck,Obol (MA)
13350,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,19,1.33,Silver,struck,Denar (MA)
13351,Waldeck-Schwalenberg: Grafschaft,1200,1205,Deutschland,Westfalen,Korbach?,20,1.26,Silver,struck,Denar (MA)
13352,Waldeck-Schwalenberg: Grafschaft,1210,1210,Deutschland,Westfalen,Korbach?,17,1.25,Silver,struck,Denar (MA)
13353,Waldeck-Schwalenberg: Grafschaft,1210,1210,Deutschland,Westfalen,Korbach?,19,0.97,Silver,struck,Denar (MA)
13354,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,16,1.15,Silver,struck,Denar (MA)
13355,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,17,1.29,Silver,struck,Denar (MA)
13356,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,18,1.38,Silver,struck,Denar (MA)
13357,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,16,1.08,Silver,struck,Denar (MA)
13358,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,16,1.10,Silver,struck,Denar (MA)
13360,Waldeck-Schwalenberg: Grafschaft,1195,1200,Deutschland,Westfalen,Korbach?,16,1.30,Silver,struck,Denar (MA)
13361,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul),21,4.44,Gold,struck,Solidus
13362,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul),21,4.46,Gold,struck,Solidus
13366,Waldeck-Schwalenberg: Grafschaft,1210,1214,Deutschland,Westfalen,Korbach?,19,1.41,Silver,struck,Denar (MA)
13370,Röm. Republik: Q. Nasidius,-106,-48,Italien,Sizilien,,20,4.04,Silver,struck,Denar (ANT)
13373,Röm. Republik: Q. Nasidius,-106,-48,Italien,Sizilien,,18,3.92,Silver,struck,Denar (ANT)
13374,Röm. Republik: Cn. Pompeius Magnus und M. Minatius Sabinus,-106,-48,Spanien,Hispania,,18,3.79,Silver,struck,Denar (ANT)
13384,Deutsches Reich: Otto IV.,1175,1218,Deutschland,Rheinland,Aachen,17,1.35,Silver,struck,Denar (MA)
13408,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,13-15,2.53,Silver,struck,1/2 Drachme (Hemidrachme)
13411,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,13-16,2.99,Silver,struck,1/2 Drachme (Hemidrachme)
13419,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,14,2.98,Silver,struck,1/2 Drachme (Hemidrachme)
13425,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,15,3.04,Silver,struck,1/2 Drachme (Hemidrachme)
13427,Magnentius,301,353,Deutschland,Gallia,Trier,21,4.11,Bronze,struck,Aes 2
13429,Römische Republik: C. Iulius Caesar (Octavianus),-63,14,Türkei,Asia,Ephesos,27,10.97,Silver,struck,Cistophor
13431,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,15,3.01,Silver,struck,1/2 Drachme (Hemidrachme)
13437,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,14,1.94,Silver,struck,1/2 Drachme? (Hemidrachme?)
13438,Römische Republik: C. Iulius Caesar (Octavianus),-63,14,Türkei,Asia,Ephesos,26,11.21,Silver,struck,Cistophor
13439,Augustus,-63,14,Türkei,Asia,Pergamon?,24,11.93,Silver,struck,Cistophor
13440,Augustus,-63,14,Türkei,Asia,Ephesos,28,11.92,Silver,struck,Cistophor
13441,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,16,2.65,Silver,struck,1/2 Drachme (Hemidrachme)
13442,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,15,2.75,Silver,struck,1/2 Drachme (Hemidrachme)
13443,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,9,0.83,Silver,struck,Obol (ANT)
13444,Thessalischer Bund,-470,-450,Griechenland,Thessalien,,10,0.93,Silver,struck,Obol (ANT)
13455,Augustus,-63,14,Türkei,Asia,Pergamon?,24,10.76,Silver,struck,Cistophor
13456,Waldeck-Schwalenberg: Grafschaft,1226,1227,Deutschland,Westfalen,Korbach?,18,1.16,Silver,struck,Denar (MA)
13457,Waldeck-Schwalenberg: Grafschaft,1226,1227,Deutschland,Westfalen,Korbach?,18,1.28,Silver,struck,Denar (MA)
13459,Augustus,-63,14,Türkei,Asia,Pergamon?,26,11.90,Silver,struck,Cistophor
13463,Waldeck-Pyrmont: Grafschaft,1198,1198,Deutschland,Westfalen,Lügde,18,1.37,Silver,struck,Denar (MA)
13465,Augustus,-63,14,Türkei,Asia,Pergamon?,24,11.92,Silver,struck,Cistophor
13467,Augustus,-63,14,Türkei,Asia,Ephesos,25,11.39,Silver,struck,Cistophor
13473,Pherai,-400,-350,Griechenland,Thessalien,Pherai,24,12.02,Silver,struck,Stater
13474,Augustus,-63,14,Türkei,Asia,Ephesos,26,11.08,Silver,struck,Cistophor
13483,Augustus,-63,14,Türkei,Asia,Ephesos,28,12.15,Silver,struck,Cistophor
13487,Pherai,-302,-286,Griechenland,Thessalien,Pherai,15-17,2.68,Silver,struck,1/2 Drachme (Hemidrachme)
13496,Pherai,-302,-286,Griechenland,Thessalien,Pherai,14-16,2.63,Silver,struck,1/2 Drachme (Hemidrachme)
13500,Pherai,-302,-286,Griechenland,Thessalien,Pherai,16,2.32,Silver,struck,1/2 Drachme (Hemidrachme)
13504,Pherai,-302,-286,Griechenland,Thessalien,Pherai,16,2.37,Silver,struck,1/2 Drachme (Hemidrachme)
13515,Pherai,-353,-352,Griechenland,Thessalien,Pherai,20-23,6.95,Bronze,struck,
13523,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,22,7.77,Bronze,struck,As
13527,Pherai,-353,-352,Griechenland,Thessalien,Pherai,22,8.43,Bronze,struck,
13528,Waldeck-Pyrmont: Grafschaft,1210,1210,Deutschland,Westfalen,Lügde,20,1.43,Silver,struck,Denar (MA)
13531,Pherai,-353,-352,Griechenland,Thessalien,Pherai,22,6.48,Bronze,struck,
13535,Pherai,-353,-352,Griechenland,Thessalien,Pherai,15,3.43,Bronze,struck,
13540,Pherai,-404,-369,Griechenland,Thessalien,Pherai,19,5.04,Bronze,struck,
13541,Limburg oder Waldeck-Pyrmont: Grafschaft,1215,1220,Deutschland,Westfalen,,20,1.44,Silver,struck,Denar (MA)
13548,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,25,9.86,Bronze,struck,As
13553,Pherai,-404,-369,Griechenland,Thessalien,Pherai,12,1.65,Bronze,struck,
13557,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,22,8.69,Bronze,struck,As
13559,Pherai,-404,-369,Griechenland,Thessalien,Pherai,14,2.13,Bronze,struck,
13565,Ephesos,91,95,Türkei,Asia,Ephesos,21,5.00,Bronze,struck,
13567,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,22,8.79,Bronze,struck,As
13569,Pherai,-404,-369,Griechenland,Thessalien,Pherai,17,2.05,Bronze,struck,
13573,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,23,10.58,Bronze,struck,As
13575,Limburg oder Waldeck-Pyrmont: Grafschaft,1215,1220,Deutschland,Westfalen,,20,1.41,Silver,struck,Denar (MA)
13576,Pherai,-404,-369,Griechenland,Thessalien,Pherai,17-19,3.55,Bronze,struck,
13577,Limburg oder Waldeck-Pyrmont: Grafschaft,1215,1220,Deutschland,Westfalen,,20,1.33,Silver,struck,Denar (MA)
13578,Pherai,-404,-369,Griechenland,Thessalien,Pherai,19,5.18,Bronze,struck,
13579,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,24,9.85,Bronze,struck,As
13581,Syria: Augustus,-63,14,Türkei,Syria,Antiochia (Antakya)?,26,9.49,Bronze,struck,As
13594,Waldeck-Schwalenberg: Grafschaft,1227,1227,Deutschland,Westfalen,Korbach?,17,1.20,Silver,struck,Denar (MA)
13599,Nikaia,161,192,Türkei,Bithynien,Nikaia (Iznik),27,13.95,Bronze,struck,
13601,Pherai,-404,-369,Griechenland,Thessalien,Pherai,18,5.88,Bronze,struck,
13607,Pherai,-404,-369,Griechenland,Thessalien,Pherai,21,5.91,Bronze,struck,
13613,Pherai,-404,-369,Griechenland,Thessalien,Pherai,14,1.86,Bronze,struck,
13616,Pherai,-404,-369,Griechenland,Thessalien,Pherai,15,2.19,Bronze,struck,
13623,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,24,11.94,Silver,struck,Stater
13628,Constantinopolis,335,337,Türkei,Oriens,Antiochia (Antakya),18,2.26,Bronze,struck,Nummus
13639,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,23,11.83,Silver,struck,Stater
13649,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,22,11.45,Silver,struck,Stater
13654,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,18,5.96,Silver,struck,Drachme
13665,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,19,5.97,Silver,struck,Drachme
13673,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,18,4.73,Silver,struck,Drachme
13677,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,11,0.77,Silver,struck,Obol (ANT)
13679,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,11,0.87,Silver,struck,Obol (ANT)
13727,Mühlhausen: Reichsmünzstätte,1220,1260,Deutschland,Thüringen,Mühlhausen,36,0.45,Silver,struck,Brakteat
13729,Aelia Eudoxia,377,404,Türkei,Thrakien,Konstantinopolis (Istanbul),21,4.38,Gold,struck,Solidus
13730,Theodosius I.,347,395,Serbien,Pannonien,Sirmium (Sremska Mitrovica),20,4.28,Gold,struck,Solidus
13737,Valens,328,378,Serbien,Pannonien,Sirmium (Sremska Mitrovica),27,4.56,Gold,struck,Solidus
13739,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,14,2.39,Bronze,struck,
13740,Augustus,-63,14,Türkei,Asia,Ephesos?,35,24.91,Bronze,struck,Sesterz
13741,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,15,2.00,Bronze,struck,
13742,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,14,2.20,Bronze,struck,
13743,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,14,2.87,Bronze,struck,
13744,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,15,2.24,Bronze,struck,
13745,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,15,3.83,Bronze,struck,
13746,Augustus,-63,14,Türkei,Asia,Ephesos?,35,24.43,Bronze,struck,Sesterz
13747,Alexandros von Pherai,-369,-358,Griechenland,Thessalien,Pherai,15,2.48,Bronze,struck,
13748,Augustus,-63,14,Türkei,Asia,Ephesos?,36,22.51,Bronze,struck,Sesterz
13749,Augustus,-63,14,Türkei,Asia,Ephesos?,28,13.47,Bronze,struck,Dupondius
13751,Augustus,-63,14,Türkei,Asia,Ephesos?,25,10.83,Bronze,struck,Dupondius
13752,Augustus,-63,14,Türkei,Asia,Ephesos?,27,14.54,Bronze,struck,Dupondius
13754,Augustus,-63,14,Türkei,Asia,Ephesos?,31,11.69,Bronze,struck,Dupondius
13756,Augustus,-63,14,Türkei,Asia,Ephesos?,30,10.74,Bronze,struck,Dupondius
13759,Augustus,-63,14,Türkei,Asia,Ephesos?,27,12.71,Bronze,struck,Dupondius
13760,Augustus,-63,14,Türkei,Asia,Ephesos?,26,11.89,Bronze,struck,Dupondius
13763,Augustus,-63,14,Türkei,Asia,Ephesos?,25,11.69,Bronze,struck,Dupondius
13765,Syrakus,-413,-399,Italien,Sizilien,Syrakus,25,17.18,Silver,struck,Tetradrachme
13767,Augustus,-63,14,Türkei,Asia,Ephesos?,26,11.65,Bronze,struck,Dupondius
13770,Syrakus,-413,-399,Italien,Sizilien,Syrakus,26,17.38,Silver,struck,Tetradrachme
13781,Syrakus,-413,-399,Italien,Sizilien,Syrakus,26,16.85,Silver,struck,Tetradrachme
13789,Syrakus,-413,-399,Italien,Sizilien,Syrakus,24,16.77,Silver,struck,Tetradrachme
13790,Syrakus,-413,-399,Italien,Sizilien,Syrakus,26,17.22,Silver,struck,Tetradrachme
13791,Syrakus,-413,-399,Italien,Sizilien,Syrakus,25-28,17.01,Silver,struck,Tetradrachme
13792,Waldeck-Pyrmont: Grafschaft,1230,1250,Deutschland,Westfalen,Lügde,19,1.16,Silver,struck,Denar (MA)
13793,Syrakus,-400,-400,Italien,Sizilien,Syrakus,24,15.24,Silver,plated,Tetradrachme
13794,Syrakus,-400,-400,Italien,Sizilien,Syrakus,27,15.74,Silver,plated,Tetradrachme
13795,Waldeck-Pyrmont: Grafschaft,1250,1300,Deutschland,Westfalen,Lügde,18,1.11,Silver,struck,Denar (MA)
13796,Köln: Erzbistum und Waldeck-Pyrmont: Grafschaft,1297,1304,Deutschland,Westfalen,Lügde,18,1.03,Silver,struck,Denar (MA)
13797,Augustus,-63,14,Türkei,Asia,Ephesos?,26,11.25,Bronze,struck,Dupondius
13798,Köln: Erzbistum und Waldeck-Pyrmont: Grafschaft,1297,1304,Deutschland,Westfalen,Lügde,18,1.06,Silver,struck,Denar (MA)
13799,Augustus,-63,14,Türkei,Asia,Pergamon,29,10.90,Silver,struck,Cistophor
13800,Augustus,-63,14,Türkei,Asia,Ephesos?,23,8.01,Bronze,struck,Dupondius
13801,Köln: Erzbistum und Waldeck-Pyrmont: Grafschaft,1297,1304,Deutschland,Westfalen,Lügde,18,1.10,Silver,struck,Denar (MA)
13802,Augustus,-63,14,Türkei,Asia,Ephesos?,37,26.67,Bronze,struck,Sesterz
13804,Waldeck-Schwalenberg: Grafschaft,1235,1240,Deutschland,Westfalen,Schwalenberg,18,1.30,Silver,struck,Denar (MA)
13805,Augustus,-63,14,Türkei,Asia,Ephesos?,22,4.00,Bronze,struck,Semis
13806,Augustus,-63,14,Türkei,Asia,Ephesos?,21,5.11,Bronze,struck,Semis
13808,Augustus,-63,14,Türkei,Asia,Ephesos?,27,15.24,Bronze,struck,As?
13812,Preußen: Wilhelm I.,1797,1888,Deutschland,Niedersachsen,Hannover,"24,1",11.11,Gold,struck,Krone
13815,Magnentius,301,353,,,,23,5.24,Bronze,struck,Aes 2
13818,Augustus,-63,14,Türkei,Asia,Ephesos?,25,9.62,Bronze,struck,As
13823,Augustus,-63,14,Türkei,Asia,Ephesos?,23,9.52,Bronze,struck,As
13826,Waldeck-Schwalenberg: Grafschaft,1250,1300,Deutschland,Westfalen,Schwalenberg,17,1.01,Silver,struck,Denar (MA)
13835,Preußen: Friedrich Wilhelm IV.,1795,1861,Deutschland,Brandenburg,Berlin,"20,0",5.56,Gold,struck,1/2 Krone
13836,Preußen: Friedrich Wilhelm IV.,1795,1861,Deutschland,Brandenburg,Berlin,"24,0",11.10,Gold,struck,Krone
13838,Augustus,-63,14,Türkei,Asia,Ephesos?,27,11.34,Bronze,struck,As
13839,Preußen: Wilhelm I.,1797,1888,Deutschland,Brandenburg,Berlin,"20,0",5.56,Gold,struck,1/2 Krone
13843,Augustus,-63,14,Türkei,Asia,Ephesos?,25-28,8.43,Bronze,struck,As
13853,Augustus,-63,14,Türkei,Asia,Ephesos?,24,10.33,Bronze,struck,As
13860,Augustus,-63,14,Türkei,Asia,Ephesos?,25,8.42,Bronze,struck,As
13863,Augustus,-63,14,Türkei,Asia,Ephesos?,24,9.93,Bronze,struck,As
13866,Decentius,301,353,Frankreich,Gallia,Lyon,23,3.68,Bronze,struck,Aes 2
13871,Waldeck-Schwalenberg: Grafschaft,1250,1264,Deutschland,Westfalen,Schwalenberg,18,1.17,Silver,struck,Denar (MA)
13873,Claudius,-10,54,Türkei,Asia,Ephesos?,27,10.48,Silver,struck,Cistophor
13875,Waldeck-Schwalenberg: Grafschaft,1250,1264,Deutschland,Westfalen,Schwalenberg,18,1.05,Silver,struck,Denar (MA)
13885,Theodosius II.,401,450,Türkei,Thrakien,Konstantinopolis (Istanbul),20,4.49,Gold,struck,Solidus
13886,Kirchenstaat: Julius II.,1443,1513,Vatikan,,Rom,28,3.85,Silver,struck,Giulio
13890,Kirchenstaat: Julius II.,1443,1513,Vatikan,,Rom,27,3.44,Silver,struck,Giulio
13891,Kirchenstaat: Leo X.,1475,1521,Vatikan,,Rom,25,3.45,Gold,struck,Dukat (Ducato papale)
13892,Deutsche Demokratische Republik: 1986 Kleist,1949,1811,Deutschland,Brandenburg,Berlin,29,12.38,Cupro-Nickel,struck,5 Mark
13931,Tiberius,-42,37,Frankreich,Gallia,Lyon,28,12.38,Bronze,struck,Dupondius
13934,Tiberius,-42,37,Frankreich,Gallia,Lyon,27,11.71,Bronze,struck,Dupondius
13936,Frankreich: Napoleon I.,1769,1821,Frankreich,Île-de-France,Paris,"21,1",6.45,Gold,struck,20 Francs (Napoleondor)
13937,Hannover: Georg III.,1738,1820,Deutschland,Niedersachsen,Hannover,"34,3",17.29,Silver,struck,2/3 Taler
13941,Helmstedt: Abtei,1160,1174,Deutschland,Niedersachsen,,29,0.81,Silver,struck,Brakteat
13942,Claudius,-10,54,Türkei,Asia,Ephesos?,26,10.81,Silver,struck,Cistophor
13943,Claudius,-10,54,Türkei,Asia,Ephesos?,27,10.79,Silver,struck,Cistophor
13944,Brandenburg: Joachim II.,1505,1571,Deutschland,Brandenburg,Berlin,32,17.09,Silver,struck,1/2 Taler?
13945,Claudius,-10,54,Türkei,Asia,Ephesos?,27,10.65,Silver,struck,Cistophor
13946,Claudius,15,59,Türkei,Asia,Ephesos?,26,10.73,Silver,struck,Cistophor
13947,Claudius und Agrippina (Minor),15,59,Türkei,Asia,Ephesos,26,10.58,Silver,struck,Cistophor
13948,Nero,37,68,Türkei,Asia,Ephesos,25,10.80,Silver,struck,Cistophor
13949,Spanien: Ferdinand VII.,1784,1833,Venezuela,,Caracas,"24,3",4.36,Silver,struck,2 Reales
13950,Spanien: Ferdinand VII.,1784,1833,Kolumbien,,Bogotá,"40,6",30.65,Silver,struck,Peso
13951,Titus,39,81,Italien,Italia,Rom,27,9.97,Silver,struck,Cistophor
13952,Iulia Titi,39,89,Italien,Italia,Rom,27,10.20,Silver,struck,Cistophor
13953,Traianus,53,117,Italien,Italia,Rom,24,10.15,Silver,struck,Cistophor
13954,Domitianus,51,96,Italien,Italia,Rom,26,7.21,Silver,plated,Cistophor
13955,Domitianus,51,96,Italien,Italia,Rom,26,10.85,Silver,struck,Cistophor
13956,Domitianus,51,96,Italien,Italia,Rom,25,10.04,Silver,struck,Cistophor
13957,Domitianus,51,96,Italien,Italia,Rom,26,10.63,Silver,struck,Cistophor
13958,Domitianus,51,96,Italien,Italia,Rom,26,10.30,Silver,struck,Cistophor
13959,Venezuela: 1817,1817,1817,Venezuela,,Caracas,"24,9",5.56,Silver,struck,2 Reales
13960,Venezuela: 1818,1818,1818,Venezuela,,Caracas,"23,3",4.54,Silver,struck,2 Reales
13961,Decentius,301,353,Deutschland,Gallia,Trier,20-23,4.34,Bronze,struck,Aes 2
13962,Deutsches Reich: Adelheid und Otto III.,931,1002,Deutschland,Sachsen,,19,1.27,Silver,struck,Denar (MA)
13963,Spanien: Ferdinand VII.,1784,1833,Venezuela,,Caracas,"19,6",2.70,Silver,struck,Real
13965,"Spanien: Ferdinand VII. (Venezuela, Provinz Guayana)",1784,1833,Venezuela,,Caracas,23,2.39,Copper,struck,1/2 Real
13966,Kolumbien (Neugranada): 1819,1819,1819,Kolumbien,,Bogotá,"38,2",25.07,Silver,struck,8 Reales
13967,Venezuela (Provinz Carácas): 1825,1825,1825,Kolumbien,,Bogotá,"22,3",6.72,Gold,struck,2 Scudos
13968,Laodikeia am Lykos,138,192,Türkei,Phrygien,Laodikeia am Lykos,27,12.41,Bronze,struck,
14000,Amastris,-300,-285,Türkei,Paphlagonien,Amastris,24,9.38,Silver,struck,Didrachme
14006,Venezuela (Gran Colombia): 1821,1821,1821,Venezuela,,Caracas,13,0.57,Silver,struck,1/4 Real
14015,Venezuela: 1876,1783,1830,Frankreich,Île-de-France,Paris,"37,3",25.00,Silver,struck,Venezolano
